,interval,s3_usage,s3_limit
143,0.04,99.8119419525122,100
144,0.04,99.8119419525122,100
145,0.04,99.8119419525122,100
146,0.04,99.8119419525122,100
147,0.04,99.8119419525122,100
148,0.04,99.8119419525122,100
149,0.04,99.8119419525122,100
150,0.04,99.8119419525122,100
151,0.04,99.8119419525122,100
152,0.04,99.8119419525122,100
153,0.04,99.8119419525122,100
154,0.04,99.8119419525122,100
155,0.04,99.8119419525122,100
156,0.04,95.39153183109835,100
157,0.04,99.01205661424936,100
158,0.04,99.01205661424936,100
159,0.04,99.01205661424936,100
160,0.04,99.01205661424936,100
161,0.04,94.6997227706213,100
162,0.04,98.39595340330094,100
163,0.04,98.39595340330094,100
164,0.04,98.39595340330094,100
165,0.04,98.39595340330094,100
166,0.04,98.39595340330094,100
167,0.04,95.29269873128041,100
168,0.04,98.55807649816788,100
169,0.04,98.55807649816788,100
170,0.04,98.55807649816788,100
171,0.04,98.55807649816788,100
172,0.04,98.55807649816788,100
173,0.04,98.55807649816788,100
174,0.04,98.55807649816788,100
175,0.04,98.55807649816788,100
176,0.04,97.24965053618753,100
177,0.04,97.24965053618753,100
178,0.04,99.29244324288757,100
179,0.04,99.29244324288757,100
180,0.04,96.7485319765027,100
181,0.04,98.99875385713221,100
182,0.04,98.99875385713221,100
183,0.04,98.99875385713221,100
184,0.04,96.34133047077204,100
185,0.04,99.96097767144569,100
186,0.04,99.96097767144569,100
187,0.04,99.96097767144569,100
188,0.04,99.96097767144569,100
189,0.04,99.96097767144569,100
190,0.04,94.95552101641479,100
191,0.04,97.47862122017592,100
192,0.04,97.47862122017592,100
193,0.04,97.47862122017592,100
194,0.04,93.42102307372167,100
195,0.04,99.69203501267498,100
196,0.04,99.69203501267498,100
197,0.04,99.69203501267498,100
198,0.04,99.69203501267498,100
199,0.04,99.69203501267498,100
200,0.04,99.69203501267498,100
201,0.04,99.69203501267498,100
202,0.04,99.69203501267498,100
203,0.04,99.69203501267498,100
204,0.04,99.69203501267498,100
205,0.04,99.69203501267498,100
206,0.04,99.69203501267498,100
207,0.04,97.05327199146424,100
208,0.04,97.05327199146424,100
209,0.04,97.05327199146424,100
210,0.04,96.19773550399923,100
211,0.04,92.09990550901217,100
212,0.04,98.44172563263712,100
213,0.04,98.44172563263712,100
214,0.04,96.54046859191196,100
215,0.04,98.06584282618108,100
216,0.04,94.44531804303007,100
217,0.04,97.7796006470709,100
218,0.04,97.7796006470709,100
219,0.04,97.7796006470709,100
220,0.04,97.7796006470709,100
221,0.04,97.7796006470709,100
222,0.04,97.7796006470709,100
223,0.04,94.48571750870282,100
224,0.04,97.19351856758179,100
225,0.04,97.19351856758179,100
226,0.04,99.6287297652176,100
227,0.04,99.6287297652176,100
228,0.04,99.6287297652176,100
229,0.04,99.6287297652176,100
230,0.04,99.6287297652176,100
231,0.04,99.6287297652176,100
232,0.04,99.6287297652176,100
233,0.04,99.6287297652176,100
234,0.04,99.6287297652176,100
235,0.04,99.6287297652176,100
236,0.04,99.6287297652176,100
237,0.04,99.6287297652176,100
238,0.04,99.6287297652176,100
239,0.04,99.6287297652176,100
240,0.04,99.6287297652176,100
241,0.04,97.08839743817562,100
242,0.04,99.3034100448365,100
243,0.04,99.3034100448365,100
244,0.04,99.3034100448365,100
245,0.04,99.3034100448365,100
246,0.04,99.3034100448365,100
247,0.04,97.1476470078264,100
248,0.04,99.959642128303,100
249,0.04,99.959642128303,100
250,0.04,99.959642128303,100
251,0.04,99.959642128303,100
252,0.04,99.959642128303,100
253,0.04,94.92254517858159,100
254,0.04,98.30959198933176,100
255,0.04,94.61336135665213,100
256,0.04,99.39608152400262,100
257,0.04,99.39608152400262,100
258,0.04,95.49168167760075,100
259,0.04,99.18435371490645,100
260,0.04,99.18435371490645,100
261,0.04,99.18435371490645,100
262,0.04,99.18435371490645,100
263,0.04,99.18435371490645,100
264,0.04,96.01179045502096,100
265,0.04,99.78612354670463,100
266,0.04,96.39907673595445,100
267,0.04,99.71239416828402,100
268,0.04,99.71239416828402,100
269,0.04,99.71239416828402,100
270,0.04,92.53253195378282,100
271,0.04,99.06877055670698,100
272,0.04,99.06877055670698,100
273,0.04,99.06877055670698,100
274,0.04,99.06877055670698,100
275,0.04,99.06877055670698,100
276,0.04,95.9683186827797,100
277,0.04,95.14951630702092,100
278,0.04,99.20961426614757,100
279,0.04,95.36425131935084,100
280,0.04,99.30909820404162,100
281,0.04,99.30909820404162,100
282,0.04,99.30909820404162,100
283,0.04,99.30909820404162,100
284,0.04,99.30909820404162,100
285,0.04,99.30909820404162,100
286,0.04,99.30909820404162,100
287,0.04,94.42506687238644,100
288,0.04,99.8315381168706,100
289,0.04,99.8315381168706,100
290,0.04,99.8315381168706,100
291,0.04,99.8315381168706,100
292,0.04,99.8315381168706,100
293,0.04,99.8315381168706,100
294,0.04,99.8315381168706,100
295,0.04,99.8315381168706,100
296,0.04,98.06938896357445,100
297,0.04,98.06938896357445,100
298,0.04,98.06938896357445,100
299,0.04,94.48603456652694,100
300,0.04,96.21528376838623,100
301,0.04,97.35887005596473,100
302,0.04,92.90365810784212,100
303,0.04,97.45128172056225,100
304,0.04,97.45128172056225,100
305,0.04,97.45128172056225,100
306,0.04,99.55623094879368,100
307,0.04,99.55623094879368,100
308,0.04,99.55623094879368,100
309,0.04,99.55623094879368,100
310,0.04,99.55623094879368,100
311,0.04,99.55623094879368,100
312,0.04,99.55623094879368,100
313,0.04,99.55623094879368,100
314,0.04,99.55623094879368,100
315,0.04,94.99320918918559,100
316,0.04,99.38517218947095,100
317,0.04,99.38517218947095,100
318,0.04,99.38517218947095,100
319,0.04,99.38517218947095,100
320,0.04,99.38517218947095,100
321,0.04,95.97822825512722,100
322,0.04,99.25940808912567,100
323,0.04,99.25940808912567,100
324,0.04,99.25940808912567,100
325,0.04,99.25940808912567,100
326,0.04,99.25940808912567,100
327,0.04,99.25940808912567,100
328,0.04,99.25940808912567,100
329,0.04,99.25940808912567,100
330,0.04,99.25940808912567,100
331,0.04,99.25940808912567,100
332,0.04,99.25940808912567,100
333,0.04,99.25940808912567,100
334,0.04,95.56673605181999,100
335,0.04,94.4572106753829,100
336,0.04,98.28026548053843,100
337,0.04,98.28026548053843,100
338,0.04,94.94598287649761,100
339,0.04,98.93800868296053,100
340,0.04,98.93800868296053,100
341,0.04,98.93800868296053,100
342,0.04,98.93800868296053,100
343,0.04,98.93800868296053,100
344,0.04,98.93800868296053,100
345,0.04,98.93800868296053,100
346,0.04,96.12601356248392,100
347,0.04,96.72173145339283,100
348,0.04,96.72173145339283,100
349,0.04,99.1614985427624,100
350,0.04,99.1614985427624,100
351,0.04,99.1614985427624,100
352,0.04,99.1614985427624,100
353,0.04,99.1614985427624,100
354,0.04,99.1614985427624,100
355,0.04,99.1614985427624,100
356,0.04,99.1614985427624,100
357,0.04,99.1614985427624,100
358,0.04,92.81967841913746,100
359,0.04,96.29222296012605,100
360,0.04,99.98214803706179,100
361,0.04,99.98214803706179,100
362,0.04,99.98214803706179,100
363,0.04,98.45677380279267,100
364,0.04,98.45677380279267,100
365,0.04,98.45677380279267,100
366,0.04,98.45677380279267,100
367,0.04,98.45677380279267,100
368,0.04,95.78154686309108,100
369,0.04,94.66146435353046,100
370,0.04,98.26671015617427,100
371,0.04,98.26671015617427,100
372,0.04,93.76853955749007,100
373,0.04,99.01686592532084,100
374,0.04,99.01686592532084,100
375,0.04,93.30738672728117,100
376,0.04,97.33139650985709,100
377,0.04,97.33139650985709,100
378,0.04,96.61230953437789,100
379,0.04,99.646435160749,100
380,0.04,99.646435160749,100
381,0.04,99.646435160749,100
382,0.04,99.646435160749,100
383,0.04,99.646435160749,100
384,0.04,99.646435160749,100
385,0.04,99.646435160749,100
386,0.04,95.87210206906532,100
387,0.04,95.87210206906532,100
388,0.04,99.33795871684175,100
389,0.04,96.90274751920595,100
390,0.04,99.82667259167097,100
391,0.04,99.82667259167097,100
392,0.04,99.82667259167097,100
393,0.04,99.82667259167097,100
394,0.04,96.6616970155919,100
395,0.04,99.80023478621956,100
396,0.04,99.80023478621956,100
397,0.04,99.80023478621956,100
398,0.04,99.80023478621956,100
399,0.04,99.80023478621956,100
400,0.04,99.80023478621956,100
401,0.04,99.80023478621956,100
402,0.04,99.80023478621956,100
403,0.04,99.80023478621956,100
404,0.04,99.80023478621956,100
405,0.04,99.80023478621956,100
406,0.04,99.80023478621956,100
407,0.04,99.80023478621956,100
408,0.04,99.80023478621956,100
409,0.04,99.80023478621956,100
410,0.04,99.80023478621956,100
411,0.04,99.80023478621956,100
412,0.04,99.80023478621956,100
413,0.04,99.80023478621956,100
414,0.04,99.80023478621956,100
415,0.04,96.98922197400458,100
416,0.04,99.96520884619095,100
417,0.04,99.96520884619095,100
418,0.04,99.96520884619095,100
419,0.04,99.96520884619095,100
420,0.04,99.96520884619095,100
421,0.04,99.96520884619095,100
422,0.04,99.96520884619095,100
423,0.04,99.96520884619095,100
424,0.04,99.96520884619095,100
425,0.04,99.96520884619095,100
426,0.04,87.39789898483573,100
427,0.04,90.0563497130861,100
428,0.04,98.89711839854107,100
429,0.04,98.89711839854107,100
430,0.04,98.89711839854107,100
431,0.04,98.89711839854107,100
432,0.04,94.35240208094007,100
433,0.04,97.83165059481026,100
434,0.04,97.83165059481026,100
435,0.04,93.80764081223434,100
436,0.04,98.53110096762849,100
437,0.04,94.85790617671509,100
438,0.04,99.64533453343101,100
439,0.04,99.64533453343101,100
440,0.04,99.64533453343101,100
441,0.04,99.64533453343101,100
442,0.04,99.64533453343101,100
443,0.04,99.64533453343101,100
444,0.04,99.9095926236007,100
445,0.04,99.9095926236007,100
446,0.04,96.62841278960225,100
447,0.04,94.52082843734564,100
448,0.04,98.60001412171448,100
449,0.04,94.99476831907067,100
450,0.04,98.32498299145517,100
451,0.04,98.32498299145517,100
452,0.04,98.32498299145517,100
453,0.04,98.32498299145517,100
454,0.04,98.32498299145517,100
455,0.04,98.32498299145517,100
456,0.04,98.32498299145517,100
457,0.04,98.32498299145517,100
458,0.04,98.32498299145517,100
459,0.04,98.32498299145517,100
460,0.04,98.32498299145517,100
461,0.04,94.50192818629964,100
462,0.04,97.66892471405737,100
463,0.04,97.66892471405737,100
464,0.04,97.66892471405737,100
465,0.04,97.66892471405737,100
466,0.04,97.66892471405737,100
467,0.04,97.66892471405737,100
468,0.04,97.66892471405737,100
